               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.067708,            0.018474,            0.017011,             0.76406,             0.77654,             0.82614,             0.61525,            0.059415,            0.013521,            0.015821,            0.016976,            0.016976,            0.016976
                  86,            0.068241,            0.018498,            0.017068,             0.77419,             0.77331,             0.83069,             0.61862,            0.059309,            0.013516,            0.015682,             0.01694,             0.01694,             0.01694
                  87,            0.068959,            0.019093,            0.017523,             0.76278,             0.78746,             0.83252,             0.62203,            0.059313,            0.013468,            0.015911,            0.016904,            0.016904,            0.016904
                  88,            0.068131,            0.019004,            0.016308,             0.77123,             0.78131,             0.83206,             0.62116,             0.05932,            0.013444,            0.015638,            0.016868,            0.016868,            0.016868
                  89,            0.067755,            0.018604,            0.016317,              0.7858,             0.77862,             0.83827,             0.62552,            0.059186,            0.013441,            0.015438,            0.016832,            0.016832,            0.016832
                  90,            0.067789,            0.018793,            0.015745,             0.78156,             0.78063,              0.8356,             0.62531,            0.059178,            0.013423,            0.015605,            0.016796,            0.016796,            0.016796
                  91,            0.067695,            0.018458,            0.016142,             0.78694,             0.77005,             0.83756,             0.62641,            0.059352,            0.013474,            0.015574,             0.01676,             0.01676,             0.01676
                  92,            0.068391,            0.018718,            0.016335,             0.78159,             0.78016,             0.84029,             0.62832,            0.059242,            0.013457,            0.015261,            0.016724,            0.016724,            0.016724
                  93,            0.068263,            0.018756,             0.01565,             0.77343,             0.79114,             0.84254,             0.62846,            0.059067,            0.013438,            0.015029,            0.016688,            0.016688,            0.016688
                  94,            0.067505,            0.018649,            0.015524,             0.77052,             0.79999,             0.84302,              0.6312,            0.058842,            0.013425,            0.014866,            0.016652,            0.016652,            0.016652
                  95,            0.067539,            0.018503,            0.015766,             0.78341,             0.79701,             0.84796,             0.63561,            0.058862,            0.013357,            0.014689,            0.016616,            0.016616,            0.016616
                  96,            0.067431,            0.018796,            0.015329,             0.79016,             0.79352,             0.85015,             0.63803,            0.058732,            0.013363,            0.014564,             0.01658,             0.01658,             0.01658
                  97,            0.067183,            0.018508,            0.014758,              0.7953,             0.80198,             0.85071,             0.64002,            0.058714,             0.01333,            0.014514,            0.016544,            0.016544,            0.016544
                  98,            0.068149,            0.018687,             0.01511,             0.78625,             0.80402,             0.85434,             0.64173,            0.058721,             0.01327,            0.014349,            0.016508,            0.016508,            0.016508
                  99,            0.067173,            0.018519,            0.014819,             0.80041,             0.79275,             0.85666,             0.64364,            0.058593,            0.013332,            0.014243,            0.016472,            0.016472,            0.016472
                 100,            0.067727,            0.018373,            0.014585,             0.79339,             0.80556,             0.85856,             0.64702,            0.058518,            0.013395,            0.014076,            0.016436,            0.016436,            0.016436
                 101,            0.069191,            0.018944,            0.014599,             0.79669,             0.80701,             0.86083,             0.64823,            0.058448,            0.013372,            0.014007,              0.0164,              0.0164,              0.0164
                 102,            0.067883,            0.018403,            0.014827,             0.79822,             0.80356,             0.86197,             0.64898,            0.058439,            0.013251,            0.014012,            0.016364,            0.016364,            0.016364
                 103,            0.068285,            0.018732,            0.014004,             0.79157,              0.8134,              0.8616,             0.65037,            0.058464,            0.013227,            0.013911,            0.016328,            0.016328,            0.016328
                 104,            0.068824,             0.01897,            0.014487,             0.78386,             0.82091,             0.86346,             0.65028,            0.058595,            0.013291,            0.013865,            0.016292,            0.016292,            0.016292
                 105,            0.067274,            0.018417,             0.01399,             0.79527,             0.80703,             0.86402,             0.65115,            0.058517,            0.013283,            0.013885,            0.016256,            0.016256,            0.016256
                 106,            0.067437,            0.018739,            0.013936,             0.79223,             0.81428,             0.86588,             0.65112,            0.058414,            0.013319,            0.013785,             0.01622,             0.01622,             0.01622
                 107,             0.06779,            0.018805,            0.013906,             0.80589,             0.81255,             0.86923,             0.65412,            0.058301,            0.013239,            0.013671,            0.016184,            0.016184,            0.016184
                 108,            0.067486,            0.018794,            0.013526,             0.80302,             0.82013,              0.8706,             0.65472,            0.058249,            0.013212,             0.01352,            0.016148,            0.016148,            0.016148
                 109,            0.067725,            0.018528,            0.014147,             0.80544,             0.81717,             0.86764,             0.65347,            0.058292,            0.013193,            0.013621,            0.016112,            0.016112,            0.016112
                 110,            0.067485,            0.018627,            0.013414,             0.80195,             0.81927,             0.86857,             0.65521,             0.05819,            0.013197,            0.013456,            0.016076,            0.016076,            0.016076
                 111,            0.067549,            0.018565,            0.013817,             0.80103,             0.82395,             0.87002,             0.65766,            0.058105,            0.013141,            0.013443,             0.01604,             0.01604,             0.01604
                 112,             0.06714,            0.018504,            0.013693,             0.79716,             0.82311,             0.87152,             0.65896,            0.058075,            0.013152,            0.013392,            0.016004,            0.016004,            0.016004
                 113,            0.068274,            0.018885,            0.013335,             0.81424,             0.81622,             0.87217,             0.65999,            0.058153,            0.013164,            0.013374,            0.015968,            0.015968,            0.015968
                 114,            0.067972,            0.018676,            0.013138,             0.81456,             0.81367,             0.87437,             0.66094,             0.05824,            0.013181,            0.013228,            0.015932,            0.015932,            0.015932
                 115,            0.066969,            0.018433,            0.013024,              0.8177,             0.81553,              0.8769,             0.66392,            0.058247,            0.013139,            0.013095,            0.015896,            0.015896,            0.015896
                 116,            0.068415,            0.018809,            0.013562,             0.82361,             0.81156,             0.87784,              0.6656,            0.058291,            0.013155,            0.013039,             0.01586,             0.01586,             0.01586
                 117,            0.067034,            0.018684,            0.013176,             0.82133,             0.82009,             0.87801,             0.66542,            0.058232,            0.013097,            0.013032,            0.015824,            0.015824,            0.015824
                 118,            0.066792,            0.018449,            0.012301,             0.82767,             0.81688,             0.87838,             0.66515,             0.05821,            0.013029,            0.013014,            0.015788,            0.015788,            0.015788
                 119,            0.067936,            0.018773,            0.012489,             0.82054,               0.822,             0.87926,             0.66506,            0.058093,            0.013023,            0.012929,            0.015752,            0.015752,            0.015752
                 120,            0.066863,             0.01807,            0.012438,             0.81681,             0.82373,             0.87968,             0.66502,             0.05806,            0.013026,            0.012918,            0.015716,            0.015716,            0.015716
                 121,            0.066834,            0.018027,            0.012288,             0.82105,             0.82448,              0.8805,             0.66579,            0.057985,            0.013013,             0.01292,             0.01568,             0.01568,             0.01568
                 122,            0.066534,            0.018174,            0.012137,             0.82148,             0.82234,             0.87884,             0.66493,            0.057969,            0.013008,            0.012898,            0.015644,            0.015644,            0.015644
                 123,            0.066369,            0.017881,            0.012137,               0.823,             0.82678,             0.87942,             0.66452,            0.057975,            0.013015,            0.012796,            0.015608,            0.015608,            0.015608
                 124,            0.066508,            0.018238,            0.012706,             0.81918,             0.83594,             0.88268,             0.66719,            0.057949,            0.012996,            0.012676,            0.015572,            0.015572,            0.015572
                 125,            0.066273,            0.017965,            0.012982,             0.81516,             0.83619,             0.88285,              0.6662,            0.057964,            0.012999,            0.012648,            0.015536,            0.015536,            0.015536
                 126,            0.065742,            0.018115,            0.011993,             0.81359,             0.83705,             0.88323,             0.66753,            0.057973,            0.013004,              0.0126,              0.0155,              0.0155,              0.0155
                 127,            0.065756,            0.018122,            0.011849,             0.82615,             0.83103,             0.88414,              0.6679,            0.057947,            0.012991,            0.012543,            0.015464,            0.015464,            0.015464
                 128,            0.067119,             0.01824,            0.012204,             0.82943,             0.82731,             0.88487,             0.66779,            0.057916,            0.012978,            0.012447,            0.015428,            0.015428,            0.015428
                 129,              0.0666,            0.018003,            0.011854,              0.8227,             0.83656,             0.88631,             0.66894,             0.05789,             0.01297,            0.012355,            0.015392,            0.015392,            0.015392
                 130,            0.067469,            0.018337,            0.011883,             0.82186,             0.83758,             0.88729,             0.67151,            0.057888,            0.012982,            0.012306,            0.015356,            0.015356,            0.015356
                 131,            0.066874,            0.017782,            0.011985,             0.81359,             0.84333,             0.88822,              0.6722,            0.057846,            0.012985,            0.012276,             0.01532,             0.01532,             0.01532
                 132,            0.067181,             0.01839,            0.011628,             0.82348,              0.8338,             0.88917,             0.67366,            0.057824,            0.012965,            0.012185,            0.015284,            0.015284,            0.015284
                 133,             0.06587,            0.017954,            0.011366,             0.82774,              0.8275,             0.88906,             0.67366,            0.057804,            0.012965,            0.012154,            0.015248,            0.015248,            0.015248
                 134,            0.066812,            0.017916,            0.011845,             0.82427,             0.83067,             0.88962,             0.67358,            0.057769,            0.012958,            0.012093,            0.015212,            0.015212,            0.015212
                 135,            0.066005,            0.018141,            0.011736,             0.81984,             0.83857,             0.89003,              0.6756,            0.057728,            0.012956,            0.012041,            0.015176,            0.015176,            0.015176
                 136,            0.066346,            0.018018,            0.011416,             0.81602,             0.84436,             0.89049,             0.67549,            0.057683,            0.012962,            0.012021,             0.01514,             0.01514,             0.01514
                 137,            0.066556,            0.018004,            0.012032,             0.82469,             0.84191,             0.89069,             0.67532,             0.05766,            0.012962,            0.011983,            0.015104,            0.015104,            0.015104
                 138,            0.066433,            0.017909,            0.010974,             0.83072,             0.83814,             0.89115,             0.67563,            0.057633,            0.012944,            0.011923,            0.015068,            0.015068,            0.015068
                 139,            0.065707,            0.017834,            0.011386,             0.83119,             0.83954,             0.89205,             0.67684,            0.057618,            0.012926,            0.011855,            0.015032,            0.015032,            0.015032
                 140,            0.065769,            0.017953,            0.011401,             0.82622,               0.845,             0.89239,              0.6768,            0.057606,            0.012935,            0.011764,            0.014996,            0.014996,            0.014996
                 141,            0.066906,            0.017884,            0.011442,             0.82559,             0.84486,             0.89059,             0.67544,            0.057618,            0.012926,            0.011739,             0.01496,             0.01496,             0.01496
                 142,            0.065625,            0.017826,            0.010957,             0.82577,              0.8464,             0.89256,             0.67631,            0.057617,            0.012917,            0.011716,            0.014924,            0.014924,            0.014924
                 143,            0.065562,            0.017785,            0.010775,             0.82151,             0.84973,             0.89275,             0.67836,            0.057629,            0.012919,            0.011687,            0.014888,            0.014888,            0.014888
                 144,            0.065672,            0.018006,            0.011137,             0.82117,             0.84704,             0.89276,             0.67811,            0.057641,            0.012905,            0.011659,            0.014852,            0.014852,            0.014852
                 145,             0.06586,             0.01773,            0.011176,             0.82127,             0.84781,             0.89326,             0.67861,            0.057635,            0.012899,            0.011624,            0.014816,            0.014816,            0.014816
                 146,            0.065587,            0.017541,            0.010988,             0.82734,               0.845,             0.89358,             0.67846,             0.05765,            0.012898,            0.011607,             0.01478,             0.01478,             0.01478
                 147,            0.066271,            0.017984,             0.01072,             0.83036,              0.8462,             0.89402,             0.67821,            0.057665,            0.012891,            0.011566,            0.014744,            0.014744,            0.014744
                 148,            0.064915,            0.017314,            0.010472,             0.83271,              0.8432,             0.89435,             0.67844,            0.057649,            0.012872,            0.011539,            0.014708,            0.014708,            0.014708
                 149,            0.065084,            0.017378,            0.010614,             0.83472,             0.84452,             0.89435,             0.67855,            0.057629,            0.012859,            0.011532,            0.014672,            0.014672,            0.014672
                 150,            0.065912,            0.018134,            0.010593,             0.83508,             0.84499,             0.89486,             0.67797,            0.057612,            0.012856,            0.011533,            0.014636,            0.014636,            0.014636
                 151,            0.065742,            0.018072,            0.010509,             0.83456,             0.84738,             0.89487,             0.67918,            0.057581,            0.012849,            0.011509,              0.0146,              0.0146,              0.0146
                 152,            0.065809,             0.01776,            0.011202,             0.83462,             0.84646,               0.896,             0.68025,            0.057567,            0.012839,            0.011487,            0.014564,            0.014564,            0.014564
                 153,            0.065521,            0.017581,            0.010445,             0.83552,             0.84639,             0.89638,             0.68058,            0.057558,            0.012827,            0.011474,            0.014528,            0.014528,            0.014528
                 154,            0.065517,            0.017801,            0.010533,              0.8366,             0.84553,             0.89677,             0.68126,             0.05755,            0.012817,            0.011455,            0.014492,            0.014492,            0.014492
                 155,            0.065328,            0.018041,            0.010512,             0.83644,              0.8467,             0.89692,             0.68102,            0.057542,            0.012817,            0.011438,            0.014456,            0.014456,            0.014456
                 156,            0.065297,            0.017776,            0.010374,             0.83346,             0.85012,             0.89756,             0.68148,            0.057533,            0.012809,            0.011402,             0.01442,             0.01442,             0.01442
                 157,            0.065424,            0.017975,            0.010802,             0.83225,             0.85342,             0.89831,             0.68252,            0.057522,              0.0128,            0.011359,            0.014384,            0.014384,            0.014384
                 158,            0.065934,            0.017728,            0.010507,             0.83163,             0.85378,             0.89635,             0.68125,            0.057508,             0.01279,            0.011321,            0.014348,            0.014348,            0.014348
                 159,            0.065438,            0.017866,            0.010583,             0.83085,             0.85874,             0.89877,             0.68286,            0.057511,            0.012782,            0.011303,            0.014312,            0.014312,            0.014312
                 160,            0.064947,            0.017851,            0.010135,              0.8345,             0.85594,             0.89941,             0.68348,            0.057521,            0.012781,            0.011269,            0.014276,            0.014276,            0.014276
                 161,            0.064934,            0.017852,            0.010012,             0.83504,             0.85747,             0.89943,             0.68387,            0.057529,            0.012778,            0.011258,             0.01424,             0.01424,             0.01424
                 162,            0.065791,            0.017718,            0.010191,             0.83666,             0.85626,             0.89965,              0.6835,            0.057545,            0.012777,            0.011256,            0.014204,            0.014204,            0.014204
                 163,             0.06568,            0.017819,            0.010252,             0.83634,             0.85735,             0.89972,             0.68396,            0.057544,            0.012774,            0.011244,            0.014168,            0.014168,            0.014168
                 164,            0.065293,            0.017909,           0.0096137,             0.83748,             0.85616,             0.89999,             0.68379,            0.057553,            0.012765,            0.011219,            0.014132,            0.014132,            0.014132
                 165,            0.064756,            0.017507,           0.0098867,             0.83926,             0.85583,             0.90047,             0.68361,            0.057554,            0.012759,            0.011207,            0.014096,            0.014096,            0.014096
