               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.047798,            0.012994,             0.03561,             0.46495,             0.32448,             0.25657,             0.19226,            0.029882,           0.0045989,            0.027352,           0.0097528,           0.0097528,           0.0097528
                  55,            0.048552,            0.013161,            0.035571,             0.44719,             0.35793,             0.26831,             0.20217,            0.029783,           0.0046021,            0.027035,           0.0097435,           0.0097435,           0.0097435
                  56,            0.047771,            0.012863,            0.035025,             0.47249,             0.33355,             0.27401,             0.20772,            0.029784,           0.0046169,            0.026772,            0.009734,            0.009734,            0.009734
                  57,            0.047639,            0.013151,            0.034543,             0.46768,             0.31646,              0.2797,             0.21138,             0.02978,           0.0046044,            0.026616,           0.0097243,           0.0097243,           0.0097243
                  58,            0.047798,            0.012795,            0.034382,             0.47859,             0.31882,              0.2859,             0.21487,            0.029704,           0.0045957,            0.026374,           0.0097145,           0.0097145,           0.0097145
                  59,            0.047627,             0.01305,            0.033688,             0.43827,             0.34124,             0.28812,              0.2176,            0.029634,           0.0045968,            0.026134,           0.0097045,           0.0097045,           0.0097045
                  60,            0.048023,            0.012956,            0.033718,             0.40605,              0.3469,             0.28081,             0.21206,            0.029629,            0.004581,            0.025933,           0.0096943,           0.0096943,           0.0096943
                  61,            0.048072,            0.013111,            0.033416,             0.44637,             0.34051,             0.28551,             0.21864,            0.029607,           0.0045868,            0.025759,            0.009684,            0.009684,            0.009684
                  62,             0.04789,            0.013265,            0.032615,             0.40587,             0.35726,             0.28765,             0.21887,            0.029578,           0.0045824,            0.025556,           0.0096735,           0.0096735,           0.0096735
                  63,            0.047531,             0.01302,            0.032237,              0.4083,              0.3535,             0.29845,             0.22812,            0.029546,           0.0045608,            0.025404,           0.0096628,           0.0096628,           0.0096628
                  64,            0.047945,            0.013099,            0.032574,             0.39526,             0.36062,             0.30109,             0.22821,            0.029519,           0.0045438,            0.025257,            0.009652,            0.009652,            0.009652
                  65,             0.04762,            0.013103,            0.031989,             0.38049,             0.36507,             0.30789,             0.23435,            0.029515,           0.0045288,            0.025116,            0.009641,            0.009641,            0.009641
                  66,            0.047296,            0.012906,            0.031419,             0.38903,             0.37215,             0.31223,             0.23917,            0.029493,           0.0045196,            0.024974,           0.0096299,           0.0096299,           0.0096299
